cycle,approach,vehicles,queue
0,North,12,3
0,East,37,12
0,South,15,5
0,West,9,3
1,North,12,3
1,East,33,8
1,South,16,6
1,West,12,6
2,North,13,4
2,East,37,12
2,South,18,8
2,West,11,5
3,North,15,6
3,East,37,12
3,South,17,7
3,West,11,5
4,North,13,4
4,East,39,14
4,South,13,3
4,West,8,2
5,North,12,3
5,East,40,15
5,South,13,3
5,West,9,3
6,North,16,7
6,East,38,13
6,South,10,0
6,West,8,2
7,North,15,6
7,East,37,12
7,South,11,1
7,West,7,1
8,North,12,3
8,East,29,4
8,South,14,4
8,West,6,0
9,North,12,3
9,East,34,9
9,South,10,0
9,West,6,0
10,North,12,3
10,East,27,2
10,South,8,0
10,West,6,0
11,North,13,4
11,East,17,0
11,South,11,1
11,West,6,0
