cycle,approach,vehicles,queue
0,North,23,6
0,East,11,2
0,South,32,12
0,West,13,5
1,North,18,1
1,East,12,3
1,South,32,12
1,West,12,4
2,North,25,8
2,East,13,4
2,South,35,15
2,West,13,5
3,North,27,10
3,East,17,8
3,South,34,14
3,West,11,3
4,North,28,11
4,East,14,5
4,South,35,15
4,West,12,4
5,North,27,10
5,East,14,5
5,South,35,15
5,West,11,3
6,North,26,9
6,East,14,5
6,South,31,11
6,West,11,3
7,North,27,10
7,East,14,5
7,South,34,14
7,West,9,1
8,North,23,6
8,East,11,2
8,South,27,7
8,West,10,2
9,North,22,5
9,East,10,1
9,South,20,0
9,West,9,1
10,North,23,6
10,East,11,2
10,South,19,0
10,West,8,0
11,North,20,3
11,East,10,1
11,South,23,3
11,West,8,0
